taille;tempsMachine;TempsUser
1000;498;0
1000;1157;0
1000;379;0
1000;320;0
1000;464;0
1000;360;0
1000;385;0
1000;532;0
1000;471;0
1000;732;0
1000;710;0
1000;656;0
1000;607;0
1000;511;0
1000;627;0
1000;933;0
1000;918;0
1000;516;0
1000;519;0
1000;564;0
1000;508;0
1000;560;0
1000;465;0
1000;892;0
1000;530;0
1000;841;0
1000;397;0
1000;586;0
1000;434;0
1000;470;0
26000;3673;4000
26000;3778;4000
26000;3796;4000
26000;3917;4000
26000;3194;4000
26000;3537;4000
26000;3734;0
26000;3495;4000
26000;3536;4000
26000;3175;0
26000;3461;4000
26000;3559;4000
26000;3597;4000
26000;3280;4000
26000;3959;4000
26000;5357;0
26000;3436;4000
26000;3884;4000
26000;3741;4000
26000;4860;4000
26000;3648;8000
26000;3842;4000
26000;3931;4000
26000;4960;4000
26000;3951;4000
26000;3634;4000
26000;4651;8000
26000;4230;4000
26000;3833;4000
26000;3264;0
51000;4858;8000
51000;5198;12000
51000;5400;8000
51000;5366;4000
51000;5470;8000
51000;5838;4000
51000;5942;12000
51000;5626;12000
51000;5579;4000
51000;6147;4000
51000;7495;8000
51000;7048;12000
51000;7521;8000
51000;6813;8000
51000;6720;8000
51000;5418;8000
51000;6247;8000
51000;6552;8000
51000;8788;8000
51000;7867;12000
51000;6667;8000
51000;6561;8000
51000;6426;8000
51000;9724;8000
51000;7781;12000
51000;6725;12000
51000;6502;8000
51000;5424;8000
51000;5838;8000
51000;5787;8000
76000;7311;12000
76000;9499;16000
76000;10855;12000
76000;8647;12000
76000;7374;12000
76000;8368;8000
76000;7962;8000
76000;7539;12000
76000;8316;12000
76000;6855;8000
76000;10483;12000
76000;6874;12000
76000;7609;8000
76000;6380;8000
76000;6620;8000
76000;6057;8000
76000;5781;8000
76000;6070;4000
76000;5524;8000
76000;5602;8000
76000;5910;8000
76000;6329;8000
76000;6242;8000
76000;5345;8000
76000;5811;8000
76000;5953;8000
76000;9444;12000
76000;6290;8000
76000;6956;12000
76000;6125;8000
101000;9449;16000
101000;9568;12000
101000;8088;8000
101000;9281;8000
101000;7012;12000
101000;6765;12000
101000;7724;12000
101000;7627;12000
101000;6662;12000
101000;6773;16000
101000;7532;12000
101000;6545;12000
101000;8244;12000
101000;7410;12000
101000;8408;12000
101000;6797;12000
101000;7628;8000
101000;7529;12000
101000;9186;16000
101000;9861;16000
101000;8024;8000
101000;7007;12000
101000;8175;12000
101000;7269;8000
101000;7601;12000
101000;6983;12000
101000;6998;12000
101000;13929;28000
101000;11265;16000
101000;10280;16000
126000;9983;12000
126000;11002;12000
126000;9045;12000
126000;11273;16000
126000;19310;12000
126000;10833;16000
126000;10224;12000
126000;10105;16000
126000;15554;24000
126000;14113;20000
126000;13437;20000
126000;12273;16000
126000;10229;20000
126000;9175;16000
126000;9157;8000
126000;9766;16000
126000;8560;12000
126000;8425;12000
126000;9056;16000
126000;8391;12000
126000;9259;8000
126000;10351;8000
126000;9341;12000
126000;9756;4000
126000;13355;20000
126000;9390;12000
126000;9690;12000
126000;10380;16000
126000;8885;4000
126000;9535;16000
151000;11717;16000
151000;10316;16000
151000;11147;20000
151000;11208;16000
151000;14811;12000
151000;22662;28000
151000;18010;28000
151000;15330;24000
151000;12869;20000
151000;11454;16000
151000;11650;16000
151000;11350;16000
151000;9761;16000
151000;11472;12000
151000;12634;12000
151000;11112;12000
151000;10908;12000
151000;11012;8000
151000;12536;12000
151000;13154;20000
151000;12383;20000
151000;11358;12000
151000;21391;12000
151000;9608;12000
151000;11236;16000
151000;10127;12000
151000;10999;16000
151000;10961;16000
151000;9656;16000
151000;11912;16000
176000;12690;16000
176000;14321;24000
176000;13002;16000
176000;14900;20000
176000;13101;20000
176000;12871;20000
176000;14420;12000
176000;14934;20000
176000;13576;20000
176000;11716;20000
176000;13033;20000
176000;12719;16000
176000;13250;24000
176000;13114;24000
176000;15628;20000
176000;17690;24000
176000;14293;16000
176000;15651;24000
176000;15203;16000
176000;14556;16000
176000;15040;20000
176000;13033;20000
176000;19606;32000
176000;17418;28000
176000;14510;20000
176000;13004;20000
176000;13470;20000
176000;14555;24000
176000;18135;24000
176000;20478;20000
201000;16628;24000
201000;17747;20000
201000;17246;28000
201000;14264;24000
201000;12652;24000
201000;14685;20000
201000;12778;24000
201000;17047;12000
201000;14130;24000
201000;14750;24000
201000;14293;16000
201000;14382;20000
201000;16807;20000
201000;13973;20000
201000;12807;24000
201000;14372;24000
201000;16517;20000
201000;14238;20000
201000;15290;20000
201000;15810;24000
201000;14315;24000
201000;14364;24000
201000;15175;20000
201000;15246;20000
201000;16698;24000
201000;16733;20000
201000;15614;28000
201000;14417;20000
201000;14504;20000
201000;14838;20000
226000;24555;32000
226000;20710;28000
226000;14068;28000
226000;20507;36000
226000;17512;28000
226000;16092;20000
226000;16249;24000
226000;24221;28000
226000;18803;28000
226000;16911;28000
226000;18849;24000
226000;16734;28000
226000;17838;24000
226000;14454;24000
226000;17368;20000
226000;16664;20000
226000;16336;24000
226000;16950;20000
226000;16839;24000
226000;18589;24000
226000;16367;20000
226000;16164;24000
226000;14991;20000
226000;16293;28000
226000;16487;24000
226000;17180;32000
226000;16726;32000
226000;16849;24000
226000;14717;28000
226000;16165;24000
251000;18776;28000
251000;26473;16000
251000;16068;28000
251000;18145;32000
251000;18094;24000
251000;20435;24000
251000;18196;28000
251000;25779;40000
251000;17029;36000
251000;19779;24000
251000;20246;32000
251000;17235;24000
251000;17404;24000
251000;18407;28000
251000;18216;24000
251000;17458;20000
251000;21754;32000
251000;18506;32000
251000;18382;32000
251000;18584;16000
251000;18331;20000
251000;19057;28000
251000;17834;20000
251000;19278;28000
251000;21455;20000
251000;18047;28000
251000;17928;32000
251000;26773;32000
251000;21441;28000
251000;18750;32000
276000;26536;40000
276000;23180;32000
276000;19962;24000
276000;23099;20000
276000;20076;32000
276000;19873;28000
276000;20235;32000
276000;17305;32000
276000;17092;36000
276000;20156;32000
276000;24495;32000
276000;18364;28000
276000;19983;32000
276000;30061;44000
276000;29031;48000
276000;27996;36000
276000;24357;36000
276000;19085;36000
276000;19989;36000
276000;28389;44000
276000;19944;40000
276000;20562;16000
276000;22580;28000
276000;22055;32000
276000;26743;32000
276000;20156;28000
276000;23847;36000
276000;18777;32000
276000;23060;28000
276000;19647;28000
301000;24965;36000
301000;24954;40000
301000;22180;32000
301000;21864;32000
301000;24036;36000
301000;22826;36000
301000;21574;40000
301000;29638;52000
301000;27707;40000
301000;27661;36000
301000;19074;36000
301000;21591;28000
301000;22496;36000
301000;21959;20000
301000;25519;32000
301000;21977;36000
301000;20240;32000
301000;26121;36000
301000;22085;44000
301000;25598;48000
301000;21004;44000
301000;18614;32000
301000;21786;32000
301000;28325;32000
301000;26956;28000
301000;20812;36000
301000;21844;40000
301000;21263;32000
301000;24641;36000
301000;22188;40000
326000;24351;32000
326000;23238;32000
326000;26172;24000
326000;26494;32000
326000;21740;40000
326000;25800;36000
326000;25954;40000
326000;29478;44000
326000;32646;40000
326000;38941;72000
326000;24823;48000
326000;25151;32000
326000;23597;40000
326000;28391;44000
326000;20367;40000
326000;20233;44000
326000;29066;48000
326000;27270;44000
326000;22452;40000
326000;27099;48000
326000;22320;40000
326000;23992;44000
326000;23669;36000
326000;24852;36000
326000;23186;40000
326000;32099;52000
326000;26512;40000
326000;23911;32000
326000;23862;36000
326000;20628;40000
351000;21477;44000
351000;26876;36000
351000;21690;36000
351000;26052;48000
351000;25726;44000
351000;21403;44000
351000;25937;44000
351000;47954;76000
351000;34142;56000
351000;23316;44000
351000;27256;44000
351000;22321;40000
351000;22712;28000
351000;27182;40000
351000;25525;40000
351000;25718;44000
351000;21961;44000
351000;25704;44000
351000;22156;40000
351000;25032;40000
351000;25500;32000
351000;21868;40000
351000;25735;40000
351000;25655;40000
351000;22659;36000
