1;671;0;0
1001;504;0;0
2001;529;0;0
3001;830;0;0
4001;972;0;0
5001;1289;0;0
6001;1447;0;0
7001;1498;0;0
8001;1184;0;0
9001;1697;4000;0
10001;1623;4000;0
11001;1652;4000;0
12001;1842;4000;0
13001;1840;4000;0
14001;2077;4000;0
15001;1948;4000;0
16001;2011;4000;0
17001;1841;4000;0
18001;2493;4000;0
19001;2330;4000;0
20001;2537;4000;0
21001;1936;4000;0
22001;2381;0;4000
23001;2153;0;4000
24001;2204;4000;0
25001;2563;4000;0
26001;2426;4000;0
27001;2513;4000;0
28001;2670;4000;0
29001;3119;8000;0
30001;3043;8000;0
31001;3229;8000;0
32001;3367;8000;0
33001;2950;4000;0
34001;3298;0;4000
35001;6491;4000;4000
36001;3497;4000;0
37001;3689;4000;0
38001;3451;4000;0
39001;3657;4000;0
40001;3813;4000;0
41001;3909;0;4000
42001;4227;4000;0
43001;5188;4000;0
44001;3940;4000;0
45001;4324;4000;0
46001;4373;4000;0
47001;5205;4000;0
48001;4629;4000;4000
49001;4443;4000;0
50001;4644;4000;0
51001;5333;4000;4000
52001;4426;8000;0
53001;5506;8000;0
54001;5202;8000;0
55001;5028;8000;0
56001;5098;8000;0
57001;4982;4000;4000
58001;5312;8000;0
59001;5560;8000;0
60001;6935;8000;0
61001;5745;8000;0
62001;6203;8000;0
63001;5369;8000;0
64001;6254;8000;0
65001;5796;8000;0
66001;6403;8000;0
67001;6461;12000;0
68001;6294;8000;0
69001;6341;12000;0
70001;13261;8000;8000
71001;6457;4000;4000
72001;7083;8000;0
73001;6745;4000;0
74001;6732;4000;4000
75001;6235;8000;0
76001;8598;8000;0
77001;8545;4000;0
78001;7271;12000;0
79001;7354;8000;0
80001;7101;8000;0
81001;7772;8000;0
82001;8686;4000;0
83001;7995;8000;0
84001;6449;8000;0
85001;8081;8000;0
86001;8457;8000;0
87001;7654;8000;0
88001;7676;8000;0
89001;7497;4000;4000
90001;7394;12000;0
91001;7764;12000;0
92001;9724;16000;0
93001;7662;12000;0
94001;8776;8000;0
95001;8777;12000;0
96001;9587;16000;0
97001;7310;12000;0
98001;7826;8000;4000
99001;7645;12000;0
100001;7949;12000;0
110001;9272;12000;0
120001;10920;12000;0
130001;10838;12000;0
140001;11320;20000;0
150001;12760;12000;0
160001;17449;20000;0
170001;14269;12000;4000
180001;15087;16000;4000
190001;16672;20000;0
200001;14975;24000;0
210001;18514;28000;0
220001;19910;20000;0
230001;21684;24000;0
240001;20296;28000;0
250001;19277;32000;0
260001;25795;36000;0
270001;22053;32000;0
280001;26115;32000;0
290001;38604;52000;4000
300001;25750;40000;0
310001;29222;36000;0
320001;25700;36000;0
330001;26920;40000;0
340001;29441;44000;0
350001;27116;40000;0
360001;30320;44000;0
370001;27754;44000;0
380001;28635;44000;0
390001;32654;44000;0
400001;31765;52000;0
410001;31142;40000;12000
420001;32310;48000;0
430001;38283;48000;4000
440001;35633;60000;0
450001;37847;48000;4000
460001;33661;52000;0
470001;40485;60000;8000
480001;35091;52000;0
490001;37569;68000;0
500001;44232;64000;0
510001;50300;76000;0
520001;50520;92000;0
530001;53937;80000;0
540001;44511;72000;0
550001;42723;72000;0
560001;44554;80000;0
570001;49931;72000;0
580001;48041;84000;0
590001;50955;92000;0
600001;43729;76000;0
610001;58230;84000;0
620001;49624;84000;8000
630001;50951;88000;0
640001;57063;88000;0
650001;57200;96000;12000
660001;69227;100000;8000
670001;54572;96000;0
680001;59411;96000;0
690001;60341;112000;0
700001;54516;104000;0
710001;56611;100000;0
720001;59345;104000;0
730001;64454;112000;0
740001;62629;96000;0
750001;69185;112000;0
760001;65382;104000;0
770001;66886;128000;0
780001;64849;112000;4000
790001;62928;112000;0
800001;68512;112000;0
810001;64524;104000;0
820001;66857;120000;0
830001;69668;124000;0
840001;67889;112000;0
850001;75395;132000;0
860001;73095;104000;0
870001;65726;116000;0
880001;74716;136000;0
890001;66919;112000;0
900001;74976;132000;0
910001;70372;120000;4000
920001;72194;124000;4000
930001;70196;128000;4000
940001;75175;132000;4000
950001;76794;128000;4000
960001;80752;128000;8000
970001;76285;136000;0
980001;76282;124000;4000
990001;73550;132000;8000
