taille;tempsMachine;TempsUser
1000;856;0
1000;891;0
1000;950;0
1000;985;0
1000;759;0
1000;725;0
1000;750;0
1000;1298;0
1000;464;0
1000;546;0
1000;657;0
1000;439;0
1000;376;0
1000;888;0
1000;710;0
1000;946;0
1000;679;0
1000;382;0
1000;747;0
1000;840;0
1000;805;0
1000;839;0
1000;775;0
1000;722;0
1000;785;0
1000;430;0
1000;392;0
1000;797;0
1000;752;0
1000;811;0
26000;3800;4000
26000;3855;8000
26000;3711;8000
26000;3931;8000
26000;3588;8000
26000;3392;8000
26000;3368;4000
26000;3377;8000
26000;3425;8000
26000;3522;0
26000;3469;4000
26000;3329;4000
26000;3400;8000
26000;2817;8000
26000;3026;8000
26000;3086;0
26000;2895;4000
26000;3131;0
26000;2965;4000
26000;3107;4000
26000;3046;4000
26000;2703;4000
26000;2882;4000
26000;7457;4000
26000;3163;8000
26000;3392;8000
26000;3150;4000
26000;2912;4000
26000;3022;4000
26000;3055;4000
51000;5686;8000
51000;5202;8000
51000;5774;4000
51000;5814;8000
51000;5508;8000
51000;8268;4000
51000;5411;8000
51000;6283;4000
51000;5560;4000
51000;5876;8000
51000;5737;8000
51000;5761;8000
51000;5232;8000
51000;5332;4000
51000;11388;4000
51000;6528;4000
51000;5648;8000
51000;5688;8000
51000;4995;8000
51000;5521;8000
51000;5528;8000
51000;5991;4000
51000;4966;8000
51000;5014;8000
51000;5807;8000
51000;5693;4000
51000;5747;8000
51000;5326;4000
51000;5672;4000
51000;5464;8000
76000;8891;8000
76000;7113;4000
76000;7126;8000
76000;7623;8000
76000;8781;8000
76000;7726;8000
76000;7959;8000
76000;9848;0
76000;8990;8000
76000;6894;8000
76000;8387;8000
76000;7203;8000
76000;7867;8000
76000;11799;4000
76000;7571;8000
76000;7713;12000
76000;8519;8000
76000;7990;12000
76000;8446;8000
76000;8221;8000
76000;7913;12000
76000;7273;8000
76000;8361;8000
76000;7764;8000
76000;8652;8000
76000;8046;8000
76000;7287;4000
76000;6826;8000
76000;8733;8000
76000;8234;8000
101000;11016;12000
101000;15096;12000
101000;10152;12000
101000;11050;12000
101000;11349;12000
101000;8836;16000
101000;9949;8000
101000;10255;16000
101000;13204;8000
101000;9161;12000
101000;11671;12000
101000;11129;12000
101000;9266;12000
101000;10690;12000
101000;9172;12000
101000;11203;16000
101000;11066;12000
101000;10072;12000
101000;10553;16000
101000;10242;16000
101000;10583;12000
101000;11063;12000
101000;14315;16000
