taille;tempsMachine;TempsUser
1000;452;0
1000;952;0
1000;673;0
1000;611;0
1000;650;0
1000;817;0
1000;627;0
1000;376;0
1000;385;0
1000;779;0
1000;782;0
1000;394;0
1000;587;0
1000;391;0
1000;291;0
1000;513;0
1000;501;0
1000;409;0
1000;389;0
1000;788;0
1000;333;0
1000;377;0
1000;351;0
1000;294;0
1000;430;0
1000;637;0
1000;622;0
1000;633;0
1000;431;0
1000;380;0
26000;3281;4000
26000;3091;8000
26000;3519;4000
26000;2657;4000
26000;2766;4000
26000;3044;4000
26000;3269;8000
26000;3165;8000
26000;2462;4000
26000;2968;0
26000;3674;8000
26000;3669;8000
26000;2860;8000
26000;7399;4000
26000;2978;8000
26000;3162;4000
26000;2464;4000
26000;2789;4000
26000;2383;4000
26000;2689;4000
26000;2405;4000
26000;2748;4000
26000;2653;4000
26000;2708;4000
26000;2969;4000
26000;3385;0
26000;2685;4000
26000;2985;4000
26000;2461;4000
26000;2908;4000
51000;4512;8000
51000;4746;4000
51000;4660;8000
51000;5171;4000
51000;5319;8000
51000;4894;8000
51000;4765;8000
51000;5046;8000
51000;4934;8000
51000;9589;8000
51000;5494;8000
51000;4741;8000
51000;5109;8000
51000;4477;8000
51000;4988;4000
51000;4760;8000
51000;9499;4000
51000;4369;8000
51000;5176;8000
51000;6365;4000
51000;4982;4000
51000;4357;4000
51000;4445;8000
51000;4609;8000
51000;4645;4000
51000;5051;8000
51000;4696;8000
51000;5218;8000
51000;4791;8000
51000;4941;8000
76000;7168;8000
76000;6778;8000
76000;7186;4000
76000;6579;8000
76000;9750;4000
76000;7138;8000
76000;7993;8000
76000;7396;8000
76000;6649;8000
76000;7709;12000
76000;6777;4000
76000;7432;8000
76000;7685;8000
76000;6320;8000
76000;6923;8000
76000;10899;4000
76000;6643;8000
76000;8193;12000
76000;6277;8000
76000;6447;8000
76000;6646;8000
76000;7340;8000
76000;6553;8000
76000;7025;4000
76000;8619;4000
76000;7795;8000
76000;6625;8000
76000;8099;4000
76000;7876;8000
76000;7461;8000
101000;14029;12000
101000;10104;12000
101000;8634;12000
101000;8928;16000
101000;8895;12000
101000;8720;16000
101000;10499;12000
101000;9777;16000
101000;9914;16000
101000;13673;20000
101000;13066;16000
101000;12041;12000
101000;11712;12000
101000;10497;12000
101000;9383;12000
101000;9619;8000
101000;10355;12000
101000;11220;8000
101000;9803;12000
101000;9219;16000
101000;8722;8000
101000;9299;16000
101000;10737;12000
101000;10106;12000
101000;10119;12000
101000;10731;4000
101000;9817;12000
101000;9941;12000
101000;8953;12000
101000;9731;12000
126000;12008;12000
126000;12391;12000
126000;10972;16000
126000;11153;16000
126000;11911;16000
126000;11178;16000
126000;11696;12000
126000;12698;12000
126000;12583;12000
126000;11472;16000
126000;10446;12000
126000;10951;16000
126000;11101;16000
126000;12929;12000
126000;10386;16000
126000;12473;16000
126000;11623;16000
126000;13221;12000
126000;15859;20000
126000;12967;16000
126000;13165;12000
126000;13432;16000
126000;12649;12000
126000;13193;16000
126000;12529;12000
126000;11622;16000
126000;12543;8000
126000;11870;12000
126000;11617;8000
126000;11421;16000
151000;13072;16000
151000;14128;16000
151000;13471;20000
151000;13890;16000
151000;12177;20000
151000;14529;16000
151000;14978;20000
151000;13849;20000
151000;13097;20000
151000;14630;8000
151000;13352;16000
151000;13503;20000
151000;14262;16000
151000;12730;12000
151000;12883;16000
151000;17419;20000
151000;13601;20000
151000;14197;16000
151000;14703;20000
151000;15224;16000
151000;12324;16000
151000;12682;16000
151000;13847;20000
151000;15403;4000
151000;13622;16000
151000;14437;16000
151000;13280;12000
151000;12838;12000
151000;14180;16000
151000;12063;16000
176000;13915;12000
176000;16102;16000
176000;14433;20000
176000;15174;20000
176000;16163;20000
176000;16261;20000
176000;21896;24000
176000;18150;28000
176000;17789;32000
