taille;tempsMachine;TempsUser
1000;415;0
1000;363;0
1000;358;0
1000;280;0
1000;296;0
1000;330;0
1000;323;0
1000;314;0
1000;360;0
1000;330;0
1000;346;0
1000;376;0
1000;365;0
1000;389;0
1000;382;0
1000;367;0
1000;342;0
1000;364;0
1000;355;0
1000;388;0
1000;360;0
1000;348;0
1000;337;0
1000;313;0
1000;341;0
1000;324;0
1000;354;0
1000;358;0
1000;356;0
1000;347;0
26000;3018;4000
26000;2813;4000
26000;2034;0
26000;2720;4000
26000;2600;4000
26000;2395;4000
26000;1889;4000
26000;2024;4000
26000;1808;0
26000;1914;4000
26000;1852;4000
26000;1893;0
26000;2395;0
26000;1720;4000
26000;1643;0
26000;1532;4000
26000;1693;0
26000;1595;4000
26000;1794;4000
26000;1694;4000
26000;1749;0
26000;1592;4000
26000;2171;4000
26000;2159;4000
26000;2140;0
26000;1648;0
26000;1571;4000
26000;1632;4000
26000;1573;0
26000;1547;0
51000;2733;8000
51000;2570;4000
51000;2694;8000
51000;3089;8000
51000;3825;8000
51000;2871;8000
51000;4909;4000
51000;2476;4000
51000;4625;4000
51000;2453;8000
51000;2513;8000
51000;2859;8000
51000;2687;8000
51000;2724;8000
51000;2500;4000
51000;2374;8000
51000;2333;4000
51000;3420;4000
51000;2289;4000
51000;3452;4000
51000;2413;8000
51000;2624;4000
51000;3349;4000
51000;3467;4000
51000;3963;4000
51000;2652;4000
51000;3593;4000
51000;2565;8000
51000;2379;4000
51000;4417;4000
76000;3941;8000
76000;3618;8000
76000;5079;4000
76000;3338;4000
76000;5112;8000
76000;3352;8000
76000;3347;8000
76000;3544;4000
76000;3496;4000
76000;4865;4000
76000;4849;0
76000;4881;4000
76000;3536;4000
76000;3409;8000
76000;3431;8000
76000;3461;4000
76000;8453;0
76000;3654;8000
76000;5023;4000
76000;3542;8000
76000;3402;0
76000;5075;12000
76000;4916;4000
76000;4582;12000
76000;5941;8000
76000;5664;8000
76000;3977;8000
76000;3562;8000
76000;3589;8000
76000;3378;8000
101000;4554;8000
101000;4447;12000
101000;4461;8000
101000;6555;12000
101000;6544;8000
101000;4673;12000
101000;4483;12000
101000;6535;12000
101000;4510;12000
101000;6475;8000
101000;4346;12000
101000;4781;8000
101000;4586;12000
101000;6347;12000
101000;6465;12000
101000;4281;12000
101000;4513;12000
101000;4488;12000
101000;4472;12000
101000;4533;12000
101000;6498;8000
101000;4340;8000
101000;6373;12000
101000;4477;12000
101000;8500;8000
101000;4363;12000
101000;4562;12000
101000;7389;8000
101000;4724;12000
101000;4716;12000
126000;5517;16000
126000;5625;12000
126000;5282;8000
126000;10503;12000
126000;8007;8000
126000;5618;12000
126000;5572;16000
126000;8105;12000
126000;5386;12000
126000;8116;8000
126000;5674;12000
126000;5646;4000
126000;5632;16000
126000;5657;12000
126000;5501;12000
126000;7914;8000
126000;5485;12000
126000;8428;12000
126000;5754;12000
126000;5607;12000
126000;10073;8000
126000;5533;16000
126000;5678;16000
126000;5458;12000
126000;8168;8000
126000;5759;12000
126000;8035;12000
126000;8067;12000
126000;8130;12000
126000;5650;12000
151000;9754;16000
151000;9741;12000
151000;6996;12000
151000;6547;16000
151000;7268;16000
151000;6715;16000
151000;6577;16000
151000;12723;8000
151000;6806;16000
151000;6774;12000
151000;7211;20000
151000;7100;16000
151000;6480;12000
151000;6679;12000
151000;9852;12000
151000;9536;12000
151000;9283;20000
151000;13179;20000
151000;7625;20000
151000;7064;16000
151000;6681;16000
151000;6525;16000
151000;6557;16000
151000;6480;12000
151000;13215;8000
151000;7224;12000
151000;6512;16000
151000;6721;16000
151000;9556;0
151000;9491;12000
176000;7533;20000
176000;7669;20000
176000;11124;16000
176000;11557;20000
176000;11386;20000
176000;7807;20000
176000;7584;20000
176000;7682;20000
176000;9299;24000
176000;11879;16000
176000;18147;28000
176000;17448;24000
176000;10842;28000
176000;15384;24000
176000;8967;16000
176000;8292;16000
176000;11827;12000
176000;11279;16000
176000;7968;24000
176000;7861;20000
176000;8015;20000
176000;7512;8000
176000;7738;12000
176000;7785;20000
176000;9362;20000
176000;12171;12000
176000;7682;20000
176000;7615;16000
176000;7820;20000
176000;11607;20000
201000;8619;20000
201000;8674;24000
201000;15883;24000
201000;16726;16000
201000;13057;16000
201000;8663;20000
201000;8940;20000
201000;8798;20000
201000;8677;24000
201000;9303;20000
201000;8981;24000
201000;8900;16000
201000;8796;20000
201000;15174;24000
201000;8698;20000
201000;8449;20000
201000;26603;44000
201000;13533;32000
201000;11510;28000
201000;15078;20000
201000;18068;28000
201000;8518;24000
201000;8554;20000
201000;8641;20000
201000;8918;20000
201000;9504;24000
201000;8659;24000
201000;8455;20000
201000;8596;20000
201000;8711;16000
226000;14118;24000
226000;14535;16000
226000;9632;20000
226000;9691;28000
226000;9785;24000
226000;14164;16000
226000;9678;24000
226000;10044;24000
226000;20602;20000
226000;9722;24000
226000;14452;20000
226000;9703;24000
226000;9750;20000
226000;14464;24000
226000;14782;20000
226000;14300;20000
226000;14292;16000
226000;14322;20000
226000;9437;24000
226000;14831;32000
226000;15353;20000
226000;9812;20000
226000;9975;20000
226000;9749;28000
226000;13307;24000
226000;10501;24000
226000;11055;28000
226000;9872;20000
226000;18823;20000
226000;9805;20000
251000;14369;32000
251000;11097;28000
251000;10647;28000
251000;15681;24000
251000;18419;24000
251000;15988;28000
251000;12345;32000
251000;16333;32000
251000;15947;20000
251000;10663;28000
251000;10885;28000
251000;10844;28000
251000;10910;28000
251000;10771;28000
251000;10999;28000
251000;10800;28000
251000;10552;28000
251000;21315;20000
251000;10844;28000
251000;18771;24000
251000;15780;24000
251000;10710;28000
251000;11001;28000
251000;10544;28000
251000;15786;28000
251000;10574;28000
251000;11194;28000
251000;16065;24000
251000;10881;28000
251000;13432;20000
276000;11967;28000
276000;17405;28000
276000;11958;28000
276000;18271;24000
276000;12135;32000
276000;19216;24000
276000;17768;24000
276000;11882;28000
276000;13629;32000
276000;11846;28000
276000;12356;32000
276000;12236;32000
276000;29309;24000
276000;13602;32000
276000;13746;36000
276000;11797;28000
276000;17427;28000
276000;17527;24000
276000;21450;28000
276000;13358;32000
276000;20182;24000
276000;21932;20000
276000;17840;28000
276000;12090;32000
276000;17572;28000
276000;12187;32000
276000;11863;32000
276000;15049;32000
276000;24815;32000
276000;13166;32000
301000;12814;32000
301000;21872;36000
301000;13053;32000
301000;12881;36000
301000;16250;40000
301000;23230;28000
301000;12838;36000
301000;12963;32000
301000;12788;32000
301000;19103;28000
301000;18154;36000
301000;13182;32000
301000;12878;36000
301000;13304;32000
301000;12727;36000
301000;18906;36000
301000;12804;32000
301000;12774;32000
301000;12986;36000
301000;19968;24000
301000;18987;28000
301000;12857;32000
301000;12594;36000
301000;13943;36000
301000;25716;36000
301000;14376;40000
301000;12928;32000
301000;21261;28000
301000;13299;28000
301000;15346;40000
326000;13887;36000
326000;13930;36000
326000;19115;40000
326000;13868;36000
326000;13761;32000
326000;14247;36000
326000;20830;36000
326000;20707;32000
326000;21065;32000
326000;19061;44000
326000;14126;36000
326000;20815;28000
326000;20437;28000
326000;14074;28000
326000;13987;36000
326000;13743;36000
326000;20451;36000
326000;13892;36000
326000;17355;36000
326000;13963;36000
326000;14846;36000
326000;20331;28000
326000;27534;36000
326000;16257;40000
326000;14827;36000
326000;14227;36000
326000;20914;32000
326000;14899;36000
326000;19500;40000
326000;23897;32000
351000;14989;36000
351000;32552;36000
351000;19862;44000
351000;14747;36000
351000;16334;40000
351000;15155;40000
351000;14797;40000
351000;14990;36000
351000;22364;24000
351000;15162;40000
351000;14936;36000
351000;55631;64000
351000;30195;40000
351000;16217;40000
351000;22433;32000
351000;19779;32000
351000;17324;44000
351000;22867;36000
351000;15246;36000
351000;22142;32000
351000;14787;40000
351000;15400;36000
351000;14819;40000
351000;22400;36000
351000;22574;32000
351000;26132;32000
351000;22875;36000
351000;22094;32000
351000;25959;32000
351000;15262;36000
376000;23743;36000
376000;31951;52000
376000;25746;44000
376000;21060;52000
376000;42623;60000
376000;23625;64000
376000;76985;72000
376000;25044;64000
376000;33532;44000
376000;18783;44000
376000;16381;44000
376000;29629;40000
376000;19241;48000
376000;45443;40000
376000;46757;64000
376000;18922;48000
376000;47406;44000
376000;16987;44000
376000;16074;44000
376000;15966;40000
376000;26184;36000
376000;29320;40000
376000;24180;40000
376000;27491;40000
376000;16143;40000
376000;24172;36000
376000;25345;36000
376000;26755;40000
376000;42342;64000
376000;53680;64000
401000;24812;64000
401000;66234;80000
401000;25953;68000
401000;24671;68000
401000;23041;56000
401000;21243;56000
401000;43480;36000
401000;58262;68000
401000;33279;52000
401000;33296;48000
401000;26822;40000
401000;22287;36000
401000;21261;48000
401000;17416;40000
401000;26885;40000
401000;79217;76000
401000;33026;48000
401000;25583;68000
401000;18414;48000
401000;21404;56000
401000;19759;48000
401000;27334;44000
401000;40935;40000
401000;17308;44000
401000;49410;48000
401000;34070;56000
401000;18412;48000
401000;73380;80000
401000;48959;68000
401000;58845;76000
426000;34818;52000
