taille;tempsMachine;TempsUser
1000;872;0
1000;497;0
1000;515;0
1000;757;0
1000;605;0
1000;560;0
1000;382;0
1000;367;0
1000;361;0
1000;350;0
1000;613;0
1000;343;0
1000;314;0
1000;514;0
1000;378;0
1000;437;0
1000;531;0
1000;295;0
1000;555;0
1000;411;0
1000;401;0
1000;368;0
1000;359;0
1000;568;0
1000;343;0
1000;296;0
1000;404;0
1000;570;0
1000;688;0
1000;356;0
26000;2932;8000
26000;2801;4000
26000;2895;8000
26000;2685;4000
26000;2770;4000
26000;2358;4000
26000;2267;4000
26000;2414;4000
26000;2639;4000
26000;2465;4000
26000;2303;4000
26000;5648;0
26000;2400;4000
26000;2781;4000
26000;2450;0
26000;2670;4000
26000;2455;4000
26000;2565;4000
26000;2374;4000
26000;2647;4000
26000;2480;4000
26000;2353;4000
26000;2369;4000
26000;6946;4000
26000;2598;4000
26000;2214;4000
26000;2469;4000
26000;2419;4000
26000;2236;4000
26000;2355;4000
51000;4812;8000
51000;5260;4000
51000;5421;4000
51000;5049;8000
51000;4719;4000
51000;5183;8000
51000;4889;8000
51000;4707;4000
51000;5014;4000
51000;4764;4000
51000;4372;4000
51000;4412;8000
51000;4654;8000
51000;4196;4000
51000;4418;8000
51000;4338;8000
51000;4823;8000
51000;4556;8000
51000;4825;8000
51000;5074;4000
51000;5190;8000
51000;4309;8000
51000;5324;4000
51000;4145;8000
51000;3985;4000
51000;5000;4000
51000;5028;4000
51000;4157;4000
51000;4348;8000
51000;5210;8000
76000;6582;8000
76000;6607;4000
76000;6007;8000
76000;7202;8000
76000;6323;4000
76000;6566;8000
76000;7276;8000
76000;6765;8000
76000;6074;8000
76000;6039;4000
76000;6561;8000
76000;7358;4000
76000;6260;8000
76000;6598;8000
76000;6680;8000
76000;6735;8000
76000;6517;4000
76000;6496;8000
76000;6652;8000
76000;7093;8000
76000;6676;4000
76000;7534;4000
76000;7348;8000
76000;5964;8000
76000;6700;8000
76000;6004;8000
76000;6912;8000
76000;6221;8000
76000;6484;4000
76000;7072;8000
101000;7951;12000
101000;8990;12000
101000;7696;8000
101000;7648;12000
101000;8441;8000
101000;8106;16000
101000;7619;4000
101000;8542;12000
101000;9104;12000
101000;8102;12000
101000;8488;16000
101000;8236;4000
101000;8778;12000
101000;10153;12000
101000;8038;12000
101000;9974;12000
101000;8213;12000
101000;11437;8000
101000;9346;12000
101000;8205;8000
101000;9293;12000
101000;9328;12000
101000;8546;12000
101000;8374;12000
101000;7962;12000
101000;8438;8000
101000;9014;12000
101000;7548;12000
101000;7562;12000
101000;9540;12000
126000;9690;12000
126000;11480;12000
126000;10762;12000
126000;9305;16000
126000;13776;16000
126000;12143;16000
126000;9997;12000
126000;10526;16000
126000;9713;12000
126000;10169;16000
126000;10688;16000
126000;9540;16000
126000;9641;12000
126000;10705;16000
126000;9286;16000
126000;11065;16000
126000;10407;12000
126000;9690;12000
126000;10644;12000
126000;9962;12000
126000;12646;12000
126000;11774;12000
126000;9400;4000
126000;12640;20000
126000;11380;16000
126000;10342;16000
126000;13514;20000
126000;9841;16000
126000;12300;12000
126000;10717;16000
151000;12287;16000
151000;12245;16000
151000;11305;16000
151000;13395;12000
151000;12840;12000
151000;12447;12000
151000;11471;16000
151000;11383;8000
151000;16980;8000
151000;11840;16000
151000;11293;16000
151000;12923;16000
151000;11199;20000
151000;12243;12000
151000;11668;8000
151000;15271;20000
151000;15166;16000
151000;12055;20000
151000;12822;16000
151000;11323;16000
151000;13106;16000
151000;11860;16000
151000;11643;20000
151000;15106;12000
151000;13326;16000
151000;11434;16000
151000;19045;20000
151000;15809;20000
151000;11274;16000
151000;11514;16000
176000;15924;20000
176000;13479;20000
176000;15125;20000
176000;14363;16000
176000;15195;24000
176000;14132;20000
176000;13675;24000
176000;17152;20000
176000;14337;20000
176000;13243;16000
176000;13448;20000
176000;14127;24000
176000;12895;24000
176000;14823;20000
176000;16065;20000
176000;16039;20000
176000;13813;24000
176000;14182;20000
176000;14480;16000
176000;15104;24000
176000;13026;20000
176000;13769;20000
176000;13349;20000
176000;13752;16000
176000;17990;24000
176000;15675;24000
176000;13877;24000
176000;15428;20000
176000;16262;24000
176000;16684;24000
201000;19781;28000
201000;30035;40000
201000;25852;36000
201000;20178;16000
201000;16998;24000
201000;19481;20000
201000;19419;20000
201000;16666;20000
201000;15346;16000
201000;17112;20000
201000;15480;24000
201000;14862;20000
201000;14975;24000
201000;26321;32000
201000;19631;32000
201000;16163;24000
201000;16750;28000
201000;15184;24000
201000;14838;20000
201000;19015;20000
201000;15712;20000
201000;17867;20000
201000;14729;20000
201000;16804;20000
201000;15254;20000
201000;17133;24000
201000;14868;20000
201000;19382;24000
201000;15597;24000
201000;23617;28000
226000;17011;24000
226000;17074;20000
226000;18807;24000
226000;17126;24000
226000;16772;20000
226000;27573;40000
226000;34175;48000
226000;26602;40000
226000;18288;28000
226000;18574;24000
226000;18521;24000
226000;17553;24000
226000;17079;24000
226000;20334;28000
226000;19707;28000
226000;22705;32000
226000;19702;24000
226000;17871;28000
226000;17028;24000
226000;18295;28000
226000;17148;28000
226000;17024;28000
226000;18817;24000
226000;19419;20000
226000;18868;24000
226000;15962;24000
226000;19323;24000
226000;17333;28000
226000;16912;24000
226000;17388;24000
251000;18671;20000
251000;20591;24000
251000;20747;28000
251000;20052;28000
251000;20218;32000
251000;17796;28000
251000;24952;28000
251000;19020;28000
251000;20731;24000
251000;21706;32000
251000;18291;28000
251000;21377;24000
251000;19029;28000
251000;18458;28000
251000;20401;28000
251000;18550;24000
251000;21233;32000
251000;24367;36000
251000;20385;24000
251000;18184;20000
251000;23931;40000
251000;20143;24000
251000;26840;32000
251000;23583;36000
251000;20882;32000
251000;19409;28000
251000;18598;24000
251000;18264;24000
251000;22970;32000
251000;19351;32000
276000;20164;28000
276000;23228;32000
276000;21327;36000
276000;23636;40000
276000;23206;28000
276000;23400;32000
276000;22604;24000
276000;22076;36000
276000;22472;28000
276000;20123;28000
276000;22418;28000
276000;25797;32000
276000;27952;28000
276000;19715;32000
276000;22782;36000
276000;20944;36000
276000;22104;28000
276000;22521;32000
276000;22051;28000
276000;20162;24000
276000;22944;28000
276000;30574;32000
276000;21947;32000
276000;25314;36000
276000;22495;28000
276000;23131;32000
276000;20815;36000
276000;21065;28000
276000;20464;36000
276000;22002;28000
301000;21805;36000
301000;23252;32000
301000;23451;32000
301000;22051;28000
301000;24513;36000
301000;31350;32000
301000;35528;60000
301000;29409;44000
301000;26010;40000
301000;36109;48000
301000;26788;48000
301000;29803;44000
301000;26762;32000
301000;23308;36000
301000;25393;32000
301000;25062;36000
301000;26206;36000
301000;22719;40000
301000;23112;32000
301000;27439;28000
301000;22658;32000
301000;22046;40000
301000;22628;36000
301000;22116;28000
301000;23370;24000
301000;29809;44000
301000;22120;32000
301000;21366;32000
301000;22027;36000
301000;25735;32000
326000;27419;36000
326000;25217;36000
326000;26209;32000
326000;26042;40000
326000;30496;44000
326000;23897;40000
326000;23585;40000
326000;23795;36000
326000;23931;36000
326000;26238;36000
326000;24143;44000
326000;23600;40000
326000;27166;44000
326000;26662;32000
326000;24731;36000
326000;23917;40000
326000;27952;40000
326000;28563;36000
326000;26648;36000
326000;27515;32000
326000;25174;40000
326000;25908;44000
326000;24788;36000
326000;23895;44000
326000;47027;68000
326000;33308;60000
326000;24487;40000
326000;25464;40000
326000;23624;36000
326000;27436;36000
351000;25157;40000
351000;29424;28000
351000;32251;36000
351000;28050;36000
351000;26848;36000
351000;32263;40000
351000;29769;40000
351000;25228;44000
351000;24951;40000
351000;26519;24000
351000;25736;36000
351000;29579;36000
351000;25843;36000
351000;28057;48000
351000;26396;40000
351000;28170;36000
351000;25131;40000
351000;25499;44000
351000;28329;44000
351000;31814;44000
351000;39003;60000
351000;28773;52000
351000;27115;40000
351000;26932;36000
351000;29031;52000
351000;25790;44000
351000;25194;36000
351000;31024;36000
351000;36853;48000
351000;39519;32000
376000;27765;44000
376000;32418;44000
376000;35669;52000
376000;32825;56000
376000;37838;64000
376000;29671;48000
376000;27708;48000
376000;27647;52000
376000;28026;48000
376000;30715;48000
376000;27404;44000
376000;31136;44000
376000;28646;48000
376000;27541;44000
376000;28496;40000
376000;32149;52000
376000;26999;44000
376000;40466;68000
376000;32366;52000
376000;27011;40000
376000;27555;48000
376000;27569;48000
376000;28371;52000
376000;28892;40000
376000;29415;52000
376000;27116;44000
376000;32785;56000
376000;31444;56000
376000;27997;48000
376000;33490;52000
401000;31566;56000
401000;33062;52000
401000;29048;44000
401000;29019;52000
401000;32526;52000
401000;29106;52000
401000;29755;40000
401000;32223;44000
401000;40157;56000
401000;29934;48000
401000;32589;52000
401000;35049;40000
401000;33450;44000
