taille;tempsMachine;TempsUser
1000;470;0
1000;379;0
1000;225;0
1000;348;0
1000;303;0
1000;719;0
1000;484;0
1000;275;0
1000;342;0
1000;357;0
1000;293;0
1000;401;0
1000;253;0
1000;499;0
1000;572;0
1000;398;0
1000;317;0
1000;297;0
1000;257;0
1000;473;0
1000;434;0
1000;271;0
1000;254;0
1000;297;0
1000;449;0
1000;242;0
1000;224;0
1000;310;0
1000;353;0
1000;341;0
26000;2618;4000
26000;2603;8000
26000;2608;4000
26000;2545;8000
26000;2437;4000
26000;2074;4000
26000;2079;4000
26000;2117;4000
26000;2207;4000
26000;1889;4000
26000;2679;4000
26000;1986;4000
26000;2682;4000
26000;2232;4000
26000;2209;4000
26000;2265;4000
26000;1913;4000
26000;2554;4000
26000;1913;0
26000;2547;4000
26000;1951;4000
26000;2157;4000
26000;2538;4000
26000;2107;4000
26000;2027;4000
26000;2332;4000
26000;1900;4000
26000;1987;4000
26000;2386;4000
26000;2186;0
51000;3421;4000
51000;3602;8000
51000;4410;4000
51000;4653;4000
51000;4531;4000
51000;4072;4000
51000;3173;4000
51000;4207;4000
51000;3597;8000
51000;3918;8000
51000;3188;4000
51000;3857;8000
51000;3957;8000
51000;5103;4000
51000;4344;8000
51000;3595;4000
51000;4272;4000
51000;3471;4000
51000;3436;8000
51000;3629;8000
51000;3533;8000
51000;3790;4000
51000;3477;8000
51000;3885;8000
51000;3171;4000
51000;3528;8000
51000;3456;4000
51000;3868;4000
51000;3211;4000
51000;4005;8000
76000;5814;4000
76000;7590;4000
76000;5911;8000
76000;4786;8000
76000;5404;8000
76000;5777;8000
76000;5655;8000
76000;5824;8000
76000;4908;8000
76000;5084;4000
76000;6275;8000
76000;5044;4000
76000;4660;8000
76000;4777;4000
76000;5436;8000
76000;7259;4000
76000;5794;8000
76000;4724;4000
76000;4937;4000
76000;4786;4000
76000;4851;4000
76000;5748;4000
76000;5844;8000
76000;6252;8000
76000;6461;4000
76000;5510;8000
76000;5474;8000
76000;5138;0
76000;6521;0
76000;5307;8000
101000;6907;8000
101000;6579;8000
101000;7384;8000
101000;6554;12000
101000;7646;12000
101000;6969;12000
101000;7338;12000
101000;6424;12000
101000;6409;8000
101000;7966;12000
101000;6437;16000
101000;7753;12000
101000;6219;12000
101000;6769;12000
101000;7247;8000
101000;7506;12000
101000;6408;8000
101000;7307;12000
101000;7801;12000
101000;6982;12000
101000;6558;8000
101000;6542;8000
101000;7469;8000
101000;6783;4000
101000;6946;12000
101000;6297;12000
101000;7523;12000
101000;8069;12000
101000;6995;8000
101000;7334;12000
126000;9257;12000
126000;10061;8000
126000;8436;12000
126000;10947;12000
126000;9273;12000
126000;7930;12000
126000;7702;16000
126000;7705;12000
126000;8344;12000
126000;7977;12000
126000;8168;12000
126000;7627;12000
126000;8508;12000
126000;8655;12000
126000;7683;16000
126000;9169;12000
126000;12623;16000
126000;9429;16000
126000;9143;12000
126000;9864;12000
126000;7651;12000
126000;10113;12000
126000;9171;8000
126000;7748;12000
126000;8198;12000
126000;7921;12000
126000;7693;12000
126000;8104;12000
126000;7692;12000
126000;9269;12000
151000;9534;16000
151000;9038;20000
151000;11368;16000
151000;9624;12000
151000;9333;12000
151000;9493;20000
151000;9886;16000
151000;12457;16000
151000;9800;16000
151000;9819;12000
151000;9881;16000
151000;15238;20000
151000;12444;16000
151000;11528;16000
151000;13294;20000
151000;11396;16000
151000;11993;8000
151000;12565;16000
151000;9717;16000
151000;9957;16000
151000;11699;12000
151000;11062;12000
151000;9562;12000
151000;9924;16000
151000;11050;16000
151000;9326;16000
151000;9348;12000
151000;12649;16000
151000;9323;16000
151000;8986;16000
176000;11667;12000
176000;12718;24000
176000;10875;16000
176000;11936;20000
176000;10679;16000
176000;18388;20000
176000;11371;24000
