taille;tempsMachine;TempsUser
1000;575;0
1000;951;0
1000;773;0
1000;731;0
1000;1172;0
1000;858;0
1000;924;0
1000;815;0
1000;729;0
1000;981;0
1000;929;0
1000;806;0
1000;457;0
1000;757;0
1000;794;0
1000;762;0
1000;743;0
1000;765;0
1000;784;0
1000;873;0
1000;938;0
1000;933;0
1000;644;0
1000;465;0
1000;899;0
1000;856;0
1000;801;0
1000;981;0
1000;828;0
1000;740;0
26000;4391;4000
26000;4547;8000
26000;3858;8000
26000;4086;8000
26000;3740;8000
26000;4044;8000
26000;3713;8000
26000;3140;4000
26000;3319;4000
26000;3264;0
26000;4006;8000
26000;3837;8000
26000;3611;8000
26000;7231;4000
26000;3658;4000
26000;3557;4000
26000;3778;0
26000;3652;4000
26000;3354;4000
26000;3670;4000
26000;3507;4000
26000;3843;8000
26000;3515;4000
26000;3451;4000
26000;3683;8000
26000;3397;4000
26000;3370;8000
26000;3500;4000
26000;3728;8000
26000;3438;8000
51000;6744;8000
51000;6241;4000
51000;6672;8000
51000;6183;0
51000;6754;4000
51000;6031;8000
51000;6325;8000
51000;7616;4000
51000;6868;8000
51000;6406;8000
51000;6334;8000
51000;7016;8000
51000;10570;8000
51000;5994;8000
51000;6289;8000
51000;5772;4000
51000;5617;8000
51000;9074;12000
51000;6739;8000
51000;7123;8000
51000;6289;8000
51000;6363;8000
51000;6865;4000
51000;6507;8000
51000;5933;8000
51000;6094;8000
51000;6390;8000
51000;6937;8000
51000;7162;4000
51000;6244;8000
76000;9627;12000
76000;9375;12000
76000;9489;12000
76000;12329;4000
76000;8386;8000
76000;8885;8000
76000;17458;8000
76000;10246;8000
76000;10082;8000
76000;8510;12000
76000;10220;4000
76000;9569;8000
76000;8575;8000
76000;10642;8000
76000;9397;12000
76000;9643;8000
76000;8684;12000
76000;8877;12000
76000;8955;8000
76000;10382;8000
76000;9289;8000
76000;9857;8000
76000;8993;12000
76000;8146;4000
76000;8432;8000
76000;8775;12000
76000;9717;8000
76000;9312;8000
76000;8600;12000
76000;9527;8000
101000;14323;16000
101000;12960;12000
101000;14773;12000
101000;15065;20000
101000;15415;16000
101000;16662;16000
101000;12831;12000
101000;12645;12000
101000;13461;12000
101000;11864;16000
101000;12611;12000
101000;13062;16000
101000;10251;16000
101000;11596;16000
101000;11912;16000
101000;15912;20000
101000;13132;12000
101000;11082;16000
101000;11765;16000
101000;12734;12000
101000;12709;12000
101000;12508;12000
101000;10583;12000
101000;12765;12000
101000;13399;12000
101000;12470;8000
101000;14739;12000
101000;12910;8000
101000;11933;16000
101000;13616;12000
126000;15831;16000
126000;15575;16000
126000;14573;12000
126000;13009;16000
126000;16035;16000
126000;15452;16000
126000;15775;16000
126000;15791;12000
126000;15443;16000
126000;13918;20000
126000;15144;16000
126000;16433;16000
126000;15903;16000
126000;16071;16000
126000;16031;12000
126000;15633;16000
126000;14011;20000
126000;15058;16000
126000;16095;16000
126000;14479;16000
126000;16836;16000
126000;14707;16000
126000;14133;20000
126000;16412;12000
126000;12911;20000
126000;19756;16000
126000;14554;20000
126000;15450;16000
126000;17128;16000
126000;16183;16000
151000;16777;16000
151000;19034;20000
151000;19745;16000
151000;17149;16000
151000;17877;20000
151000;18107;16000
151000;17324;20000
151000;16835;16000
151000;17953;16000
151000;18596;8000
151000;16867;16000
151000;18724;12000
151000;18525;20000
151000;16192;24000
151000;19833;16000
151000;17880;20000
151000;17472;16000
151000;19579;20000
151000;19304;16000
151000;15548;12000
151000;18697;20000
151000;16587;24000
151000;17782;16000
151000;21935;20000
151000;17448;20000
151000;17525;20000
151000;18104;12000
151000;19944;12000
151000;17875;20000
151000;24556;20000
176000;21930;24000
176000;20581;20000
176000;20473;24000
176000;23883;20000
176000;22762;24000
176000;19997;24000
176000;25631;32000
176000;23350;20000
176000;19589;20000
176000;20259;20000
176000;20799;16000
176000;22219;28000
176000;21761;24000
176000;21933;24000
176000;21382;20000
176000;22547;20000
176000;21533;24000
176000;18260;28000
176000;20845;24000
176000;20729;24000
176000;21162;24000
176000;20725;24000
176000;21894;24000
176000;20272;28000
176000;20206;24000
176000;20607;24000
176000;19431;28000
176000;20335;16000
176000;20271;24000
176000;22216;24000
201000;34354;48000
201000;28700;28000
201000;33286;28000
201000;28438;24000
201000;23021;32000
201000;23629;28000
201000;23872;24000
201000;25206;32000
201000;21639;20000
201000;27014;24000
201000;34204;32000
201000;29604;36000
201000;22889;32000
201000;23995;24000
201000;23594;28000
201000;21902;24000
201000;24757;24000
201000;20528;24000
201000;23111;24000
201000;22883;24000
201000;24334;32000
201000;28616;28000
201000;23509;20000
201000;24304;24000
201000;23661;24000
201000;23521;28000
201000;20833;20000
201000;22116;24000
201000;22832;24000
201000;26061;24000
226000;41345;36000
226000;28223;20000
226000;25896;24000
226000;26762;32000
226000;25442;32000
226000;25310;28000
226000;25385;28000
226000;27858;28000
226000;25353;28000
226000;28984;24000
226000;26591;24000
226000;22689;32000
226000;25088;28000
226000;27631;28000
226000;38062;36000
226000;27176;28000
226000;26830;28000
226000;32111;32000
226000;26909;32000
226000;30564;36000
226000;32800;36000
226000;26028;28000
226000;34826;40000
226000;35176;44000
226000;30677;32000
226000;25162;24000
226000;26015;32000
226000;25615;20000
226000;27960;28000
226000;26511;28000
251000;27060;28000
251000;29160;32000
251000;27655;28000
251000;29639;32000
251000;36963;32000
251000;31827;36000
251000;37409;32000
251000;28074;36000
251000;29583;36000
251000;30998;28000
251000;29645;36000
251000;28554;36000
251000;26388;28000
251000;28987;32000
251000;31075;44000
251000;29171;32000
251000;28283;32000
251000;27628;28000
251000;29505;36000
251000;29164;32000
251000;36393;32000
251000;29600;24000
251000;27449;32000
251000;45322;44000
251000;35640;40000
251000;38258;40000
251000;35464;32000
251000;32066;40000
251000;28312;28000
251000;26278;32000
276000;33522;28000
276000;36779;40000
276000;34592;40000
276000;40476;44000
276000;37701;44000
276000;30621;36000
276000;32936;36000
276000;27989;40000
276000;35433;32000
276000;29990;32000
276000;31327;32000
276000;30555;36000
276000;32263;32000
276000;31750;36000
276000;36189;44000
276000;35804;32000
276000;32590;32000
276000;29388;28000
276000;31644;32000
276000;31876;40000
276000;31015;32000
276000;30877;32000
276000;30021;32000
276000;29965;20000
276000;33327;36000
276000;33467;28000
276000;30706;40000
276000;39211;44000
276000;36535;32000
276000;32018;36000
301000;38698;44000
301000;51356;72000
301000;48258;64000
301000;40211;40000
301000;42556;52000
301000;37773;40000
301000;34658;36000
301000;33602;32000
301000;40586;48000
301000;32636;36000
301000;29436;32000
301000;34563;36000
301000;32645;40000
301000;33501;36000
301000;31095;32000
301000;35308;44000
301000;47745;48000
301000;35953;40000
301000;33262;28000
301000;32854;20000
301000;36703;36000
301000;36906;40000
301000;34082;36000
301000;34716;36000
301000;33435;32000
301000;32161;48000
301000;32184;36000
301000;32081;44000
301000;30493;44000
301000;30907;36000
326000;37251;40000
326000;36769;40000
326000;35710;40000
326000;38738;40000
326000;34461;36000
326000;35952;44000
326000;35599;40000
326000;37476;36000
326000;36006;36000
326000;39316;36000
326000;35338;36000
326000;35976;36000
326000;36273;44000
326000;37181;36000
326000;36316;36000
326000;36238;44000
326000;34766;40000
326000;35474;40000
326000;48856;56000
326000;39841;40000
326000;39609;52000
326000;39279;44000
326000;37088;32000
326000;39950;48000
326000;36487;32000
326000;36893;40000
326000;37513;44000
326000;37492;40000
326000;34637;32000
326000;41351;40000
351000;36939;40000
351000;40107;52000
351000;43219;52000
351000;60218;60000
351000;41409;48000
351000;38436;36000
351000;35790;44000
351000;41447;36000
351000;43097;52000
351000;57204;60000
351000;50809;56000
351000;42299;36000
351000;40175;40000
351000;36267;36000
351000;49051;40000
